Epoch,Loss1,Loss2,Loss3,Loss4
0,27.2373,18.0444,27.2373,18.0444
1,24.4339,14.6675,24.4339,14.6675
2,23.4637,14.0844,23.4637,14.0844
3,22.4832,13.3758,22.4832,13.3758
4,21.8168,12.7863,21.8168,12.7863
5,21.3884,12.2179,21.3884,12.2179
6,20.9101,11.6994,20.9101,11.6994
7,20.5316,11.2619,20.5316,11.2619
8,19.9622,10.9065,19.9622,10.9065
9,19.4278,10.5501,19.4278,10.5501
10,19.0131,10.3323,19.0131,10.3323
11,18.6020,10.0617,18.6020,10.0617
12,18.2816,9.8846,18.2816,9.8846
13,17.9292,9.6948,17.9292,9.6948
14,17.6017,9.5273,17.6017,9.5273
15,17.3375,9.3834,17.3375,9.3834
16,17.0759,9.2467,17.0759,9.2467
17,16.8526,9.1114,16.8526,9.1114
18,16.7250,8.9775,16.7250,8.9775
19,16.6104,8.8985,16.6104,8.8985
20,16.4681,8.8002,16.4681,8.8002
21,16.3025,8.6683,16.3025,8.6683
22,16.1814,8.5316,16.1814,8.5316
23,16.1004,8.4399,16.1004,8.4399
24,16.0339,8.3714,16.0339,8.3714
25,15.9629,8.2864,15.9629,8.2864
26,15.8605,8.1970,15.8605,8.1970
27,15.8253,8.1523,15.8253,8.1523
28,15.7728,8.0767,15.7728,8.0767
29,15.6826,8.0077,15.6826,8.0077
30,15.6917,7.9991,15.6917,7.9991
31,15.6590,7.9536,15.6590,7.9536
32,15.6029,7.8862,15.6029,7.8862
33,15.5337,7.8087,15.5337,7.8087
34,15.4897,7.7910,15.4897,7.7910
35,15.4769,7.7472,15.4769,7.7472
36,15.4505,7.7123,15.4505,7.7123
37,15.4208,7.6789,15.4208,7.6789
38,15.3981,7.6553,15.3981,7.6553
39,15.3281,7.6055,15.3281,7.6055
40,15.2978,7.5620,15.2978,7.5620
41,15.2809,7.5399,15.2809,7.5399
42,15.2580,7.5214,15.2580,7.5214
43,15.2518,7.4951,15.2518,7.4951
44,15.2023,7.4422,15.2023,7.4422
45,15.1276,7.3987,15.1276,7.3987
46,15.1295,7.3859,15.1295,7.3859
47,15.1199,7.3660,15.1199,7.3660
48,15.1001,7.3470,15.1001,7.3470
49,15.0202,7.2929,15.0202,7.2929
50,15.0390,7.2949,15.0390,7.2949
51,15.0570,7.2861,15.0570,7.2861
52,15.0593,7.2969,15.0593,7.2969
53,15.0042,7.2497,15.0042,7.2497
54,14.9815,7.2326,14.9815,7.2326
55,14.9353,7.2006,14.9353,7.2006
56,14.8968,7.1500,14.8968,7.1500
57,14.8946,7.1501,14.8946,7.1501
58,14.8797,7.1369,14.8797,7.1369
59,14.8656,7.1110,14.8656,7.1110
60,14.8264,7.0910,14.8264,7.0910
61,14.8120,7.0782,14.8120,7.0782
62,14.8295,7.0712,14.8295,7.0712
63,14.7953,7.0529,14.7953,7.0529
64,14.7506,7.0056,14.7506,7.0056
65,14.7341,7.0051,14.7341,7.0051
66,14.7405,6.9828,14.7405,6.9828
67,14.6874,6.9533,14.6874,6.9533
68,14.6511,6.9335,14.6511,6.9335
69,14.6777,6.9321,14.6777,6.9321
70,14.6402,6.9113,14.6402,6.9113
71,14.6477,6.9176,14.6477,6.9176
72,14.6589,6.9122,14.6589,6.9122
73,14.6202,6.8742,14.6202,6.8742
74,14.5933,6.8515,14.5933,6.8515
75,14.5723,6.8440,14.5723,6.8440
76,14.5760,6.8353,14.5760,6.8353
77,14.5204,6.8025,14.5204,6.8025
78,14.4843,6.7703,14.4843,6.7703
79,14.4839,6.7794,14.4839,6.7794
80,14.4842,6.7535,14.4842,6.7535
81,14.5005,6.7604,14.5005,6.7604
82,14.5001,6.7552,14.5001,6.7552
83,14.4157,6.7094,14.4157,6.7094
84,14.4328,6.7086,14.4328,6.7086
85,14.4167,6.6914,14.4167,6.6914
86,14.3695,6.6647,14.3695,6.6647
87,14.3685,6.6676,14.3685,6.6676
88,14.3687,6.6480,14.3687,6.6480
89,14.3333,6.6289,14.3333,6.6289
90,14.3035,6.6160,14.3035,6.6160
91,14.3778,6.6406,14.3778,6.6406
92,14.2845,6.5943,14.2845,6.5943
93,14.3101,6.5976,14.3101,6.5976
94,14.2966,6.5914,14.2966,6.5914
95,14.2657,6.5662,14.2657,6.5662
96,14.2679,6.5768,14.2679,6.5768
97,14.2164,6.5304,14.2164,6.5304
98,14.2902,6.5727,14.2902,6.5727
99,14.2413,6.5379,14.2413,6.5379
100,14.2304,6.5192,14.2304,6.5192
101,14.2305,6.5299,14.2305,6.5299
102,14.1798,6.4837,14.1798,6.4837
103,14.2377,6.5170,14.2377,6.5170
104,14.1715,6.4723,14.1715,6.4723
105,14.1855,6.4940,14.1855,6.4940
106,14.2095,6.5037,14.2095,6.5037
107,14.1908,6.4814,14.1908,6.4814
108,14.1916,6.4844,14.1916,6.4844
109,14.1726,6.4696,14.1726,6.4696
110,14.1799,6.4708,14.1799,6.4708
111,14.1945,6.4701,14.1945,6.4701
112,14.1756,6.4556,14.1756,6.4556
113,14.1588,6.4590,14.1588,6.4590
114,14.1782,6.4571,14.1782,6.4571
115,14.1451,6.4456,14.1451,6.4456
116,14.1437,6.4429,14.1437,6.4429
117,14.1495,6.4417,14.1495,6.4417
118,14.1439,6.4397,14.1439,6.4397
119,14.0607,6.3906,14.0607,6.3906
120,14.1340,6.4146,14.1340,6.4146
